molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"screen_liperp.csv:2481",1,0,0,0,0,3,0,-2,287.320,2.214,579.168,94.465,140.874,343.828,0.000,971.525,1.000,5.000,0.0050458,0.0086331,0.8190871,34.084,10.788,15.521,10.138,2.709,-5.543,-5.035,-6.099,457.078,-1.017,212.246,-2.617,8.831,1.333,0,0.163,3,90.416,0.000,0.000,75.836,4,0,16,0,16,0,22,0,0.002
"screen_liperp.csv:1942",1,0,0,0,0,3,0,-1,286.332,4.466,584.077,94.341,129.750,359.986,0.000,983.184,1.000,4.000,0.0202903,0.0068484,0.8186876,34.705,10.940,15.379,9.199,3.289,-5.986,-5.394,-6.183,582.749,-0.908,275.971,-2.355,8.521,0.960,0,0.387,3,95.699,0.000,0.000,64.208,3,0,16,0,16,0,22,1,0.001
"screen_liperp.csv:1172",0,0,0,0,0,2,1,-1,286.332,4.399,537.489,84.545,139.938,313.007,0.000,936.346,1.500,4.500,0.0206641,0.0102539,0.8611647,33.024,10.463,15.931,10.282,2.615,-5.143,-4.949,-5.271,466.519,-0.815,216.989,-2.804,8.364,1.459,2,0.215,3,90.027,0.000,0.000,77.300,3,0,17,0,12,0,22,0,0.003
"screen_liperp.csv:1173",0,0,0,0,0,2,1,-2,286.332,4.366,557.991,106.555,174.611,276.825,0.000,951.612,1.500,4.500,0.0200304,0.0098771,0.8385153,33.289,10.519,16.060,10.321,2.416,-5.494,-4.949,-5.465,218.806,-1.213,95.727,-3.570,8.749,1.534,2,0.243,3,82.974,0.000,0.000,79.277,3,0,17,0,12,0,22,0,0.000
"screen_liperp.csv:3121",0,0,0,0,0,3,0,-2,304.366,10.237,577.182,0.000,186.186,347.233,43.763,974.350,2.000,4.000,0.1075573,0.0098008,0.8234980,34.229,11.705,18.355,10.959,2.824,-5.939,-5.744,-6.044,169.942,-1.340,126.512,-3.440,9.242,1.089,2,0.305,3,83.397,0.000,0.000,79.621,3,0,17,0,17,0,22,1,0.000
"screen_liperp.csv:623",0,0,0,0,0,2,0,-2,298.343,2.698,542.501,61.502,165.057,315.942,0.000,946.828,1.500,4.500,0.0076898,0.0101592,0.8595649,33.471,10.756,16.037,10.485,2.506,-5.096,-5.480,-5.311,269.563,-1.046,119.939,-3.257,8.731,1.172,1,0.241,3,85.120,0.000,0.000,78.979,3,0,18,0,18,1,23,0,0.001
"screen_liperp.csv:3019",1,0,0,0,0,3,2,-2,300.316,6.057,557.672,48.702,215.358,293.612,0.000,953.980,1.000,5.000,0.0384511,0.0089658,0.8403863,32.902,10.840,15.922,10.251,2.035,-5.173,-5.053,-5.515,89.880,-1.650,36.592,-4.166,9.263,1.731,1,0.127,3,73.828,0.000,0.000,102.334,4,0,17,0,12,0,23,0,0.000
"screen_liperp.csv:1691",0,0,0,1,0,1,0,-1,295.294,3.898,525.395,153.335,166.835,205.225,0.000,906.226,1.000,5.000,0.0167653,0.0095167,0.8619930,31.431,9.489,14.850,9.683,2.497,-3.921,-3.954,-2.936,65.676,-0.994,33.155,-3.775,9.483,1.117,1,-0.064,3,74.093,0.000,0.000,98.950,5,0,15,0,12,0,22,0,0.006
"screen_liperp.csv:1117",0,0,0,0,0,3,0,0,294.669,4.376,502.510,0.000,138.309,264.697,99.504,843.527,1.000,3.500,0.0227026,0.0069650,0.8591851,28.206,9.135,13.352,7.955,2.891,-4.082,-4.512,-5.073,483.414,-0.622,791.075,-2.848,9.339,1.555,1,0.120,3,91.915,46.978,0.000,78.865,5,0,12,0,12,0,20,0,0.030
"screen_liperp.csv:1576",0,0,0,0,0,3,0,-1,297.371,8.695,556.294,79.849,141.048,334.293,1.105,952.054,1.500,5.000,0.0794129,0.0110081,0.8413334,33.213,10.708,17.025,10.752,2.529,-4.327,-4.224,-5.694,455.348,-0.943,214.346,-2.653,8.127,0.946,1,0.117,3,89.334,0.000,0.000,64.297,3,0,16,0,16,0,21,0,0.046
"screen_liperp.csv:2387",0,0,0,0,0,3,0,-2,287.320,8.137,558.850,93.990,147.065,317.795,0.000,951.365,1.000,5.500,0.0695936,0.0098416,0.8370816,33.028,10.493,16.352,10.446,2.314,-5.021,-4.846,-5.684,399.287,-1.017,183.395,-2.822,8.760,1.471,2,0.023,3,87.054,0.000,0.000,77.047,4,0,16,0,16,0,22,0,0.004
"screen_liperp.csv:2517",1,0,0,0,0,3,1,-2,298.343,7.079,586.374,66.330,182.481,337.562,0.000,995.934,2.000,4.500,0.0503225,0.0108531,0.8225162,35.001,11.516,17.860,11.368,2.615,-5.766,-5.152,-6.014,184.260,-1.416,79.500,-3.405,8.071,1.270,0,0.279,3,82.804,0.000,0.000,79.406,3,0,19,0,12,0,23,1,0.000
"screen_liperp.csv:2393",1,0,0,0,0,3,0,-1,287.320,2.685,569.021,92.229,116.262,360.530,0.000,964.737,1.000,5.000,0.0074751,0.0087870,0.8298054,33.972,10.689,15.455,10.059,2.861,-5.359,-5.035,-6.005,782.331,-0.743,379.418,-2.104,9.055,1.193,0,0.150,3,95.486,0.000,0.000,73.853,4,0,16,0,16,0,22,0,0.010
"screen_liperp.csv:2255",0,0,0,1,0,1,1,-1,290.318,7.248,555.137,128.062,154.921,272.154,0.000,947.581,1.000,4.000,0.0554378,0.0072054,0.8404440,33.725,10.200,15.635,9.144,3.311,-4.799,-4.234,-3.604,85.190,-0.959,43.920,-3.320,9.013,1.429,1,0.223,3,80.882,0.000,0.000,77.048,3,0,17,0,12,0,22,0,0.002
"screen_liperp.csv:1155",0,0,0,0,0,2,1,-2,286.332,6.284,539.479,88.611,163.628,287.240,0.000,935.842,1.500,4.500,0.0422002,0.0102161,0.8576807,32.757,10.429,16.198,10.272,2.416,-5.177,-4.949,-5.205,278.112,-1.040,124.056,-3.331,8.537,1.401,2,0.212,3,84.840,0.000,0.000,79.238,3,0,17,0,12,0,22,0,0.001
"screen_liperp.csv:1578",0,0,0,0,0,3,0,-1,297.371,5.991,551.303,79.768,132.494,338.029,1.012,945.131,1.500,5.000,0.0379811,0.0111077,0.8448294,32.972,10.617,16.346,10.707,2.557,-4.120,-4.224,-5.655,548.856,-0.852,261.988,-2.483,7.927,0.982,2,0.101,3,90.946,0.000,0.000,62.702,3,0,16,0,16,0,21,0,0.083
"screen_liperp.csv:2261",1,0,0,0,0,1,1,0,289.333,5.193,576.937,151.217,90.367,335.353,0.000,977.833,1.000,4.500,0.0275793,0.0077998,0.8258084,35.539,10.450,15.897,9.680,3.296,-5.009,-4.025,-5.950,1377.042,-0.380,699.094,-1.908,8.567,1.205,0,0.364,3,100.000,0.000,0.000,63.477,3,0,17,0,12,0,22,0,0.035
"screen_liperp.csv:2907",0,0,0,0,0,3,1,-1,296.300,7.818,541.552,169.370,133.786,220.428,17.968,929.851,1.000,4.500,0.0657374,0.0083095,0.8507475,31.237,9.431,15.037,8.673,2.639,-4.129,-4.404,-4.998,533.589,-0.806,314.717,-2.921,9.529,1.241,2,0.162,3,91.212,17.968,0.000,74.624,4,0,16,0,16,0,22,0,0.026
"screen_liperp.csv:1151",0,0,0,0,0,2,1,-2,286.332,9.824,550.496,107.829,180.554,262.112,0.000,943.917,1.500,4.500,0.1022519,0.0100116,0.8453439,32.841,10.404,17.056,10.243,2.313,-5.366,-4.949,-5.285,192.179,-1.242,83.199,-3.732,8.604,0.824,2,0.227,3,81.364,0.000,0.000,79.716,3,0,17,0,12,0,22,0,0.000
"screen_liperp.csv:710",0,0,0,0,0,2,0,0,289.336,9.401,567.465,174.044,102.142,291.279,0.000,959.304,2.000,3.500,0.0921271,0.0087226,0.8289528,33.735,10.272,17.025,9.696,3.270,-4.881,-4.681,-5.689,1064.843,-0.548,529.472,-2.184,7.993,0.949,3,0.390,3,100.000,0.000,0.000,67.347,4,0,18,0,18,0,22,0,0.025
"screen_liperp.csv:1177",0,0,0,0,0,2,1,-2,286.332,10.915,544.715,82.910,159.298,302.507,0.000,936.833,1.500,4.500,0.1271769,0.0101179,0.8500361,32.943,10.486,17.407,10.359,2.466,-5.267,-4.949,-5.401,305.689,-1.027,137.404,-3.198,8.840,1.501,2,0.211,3,85.867,0.000,0.000,76.770,3,0,17,0,12,0,22,0,0.001
"screen_liperp.csv:1809",0,0,0,0,0,3,1,-1,291.306,6.120,490.574,17.307,145.168,328.100,0.000,887.889,2.000,5.000,0.0421858,0.0144139,0.9106807,30.586,10.522,16.515,11.311,2.072,-3.045,-4.083,-4.542,416.170,-0.784,191.791,-2.751,8.629,1.096,1,-0.014,3,85.956,0.000,0.000,96.050,4,0,16,0,16,0,22,0,0.466
"screen_liperp.csv:2157",0,0,0,0,0,2,0,0,296.755,2.819,527.159,55.104,138.732,272.266,61.057,907.507,2.000,4.000,0.0087593,0.0107308,0.8599172,31.480,10.424,15.904,10.233,2.735,-4.322,-4.534,-5.097,478.970,-0.658,482.250,-2.925,8.820,1.162,4,0.193,3,90.935,0.000,0.000,65.798,3,0,16,0,16,0,21,0,0.017
"screen_liperp.csv:1686",0,0,0,0,0,5,1,-1,302.335,3.646,570.383,51.197,121.433,397.753,0.000,998.996,2.000,5.500,0.0133067,0.0136368,0.8473080,34.414,11.601,17.500,11.867,2.761,-3.879,-4.121,-5.900,698.797,-0.865,335.824,-1.876,8.652,1.415,2,0.056,3,94.021,0.000,0.000,86.166,5,0,16,0,16,0,23,0,0.515
"screen_liperp.csv:1029",2,0,0,0,0,3,0,0,310.232,12.949,522.323,0.618,123.758,294.420,103.526,877.530,1.000,3.500,0.1910892,0.0067008,0.8486608,29.850,8.797,16.208,8.107,3.196,-4.514,-4.828,-5.385,664.203,-0.509,1173.265,-2.475,9.799,1.720,1,0.208,3,96.174,103.526,0.000,75.935,5,0,12,0,12,0,22,0,0.032
"screen_liperp.csv:2177",1,0,0,0,0,2,1,-1,298.343,8.158,566.682,72.561,151.186,342.935,0.000,974.995,2.000,4.500,0.0682627,0.0112302,0.8391266,34.856,11.166,17.995,11.365,2.718,-5.593,-5.152,-5.771,364.928,-0.989,166.398,-2.906,8.356,1.135,0,0.277,3,88.719,0.000,0.000,71.606,3,0,17,0,12,0,23,0,0.001
"screen_liperp.csv:756",0,0,0,0,0,2,1,0,275.306,9.289,526.454,163.956,118.616,243.882,0.000,906.370,0.000,4.000,0.0952089,0.0000000,0.8603490,31.164,9.188,13.623,6.951,2.725,-4.774,-5.023,-4.955,743.125,-0.625,358.908,-2.654,9.120,0.855,2,0.094,3,94.287,0.000,0.000,64.018,3,0,16,0,16,0,21,0,0.010
